Table,Column,Dtype,Non-Null Count,Null Count,Null Percentage,Unique Values
city_events,event_name,object,3,0,0.0,3
city_events,date,object,3,0,0.0,3
city_events,venue_station_id,object,3,0,0.0,3
city_events,impact_on_lines,object,3,0,0.0,3
incidents,incident_id,object,36,0,0.0,36
incidents,timestamp,object,36,0,0.0,36
incidents,incident_type,object,36,0,0.0,4
incidents,delay_impact_factor,float64,36,0,0.0,36
incidents,line_id,object,36,0,0.0,6
lines,line_id,object,6,0,0.0,6
lines,line_name,object,6,0,0.0,6
lines,is_ring_line,bool,6,0,0.0,2
lines,delay_propensity,float64,6,0,0.0,5
stations,station_id,object,10,0,0.0,10
stations,name,object,10,0,0.0,10
stations,is_major_hub,bool,10,0,0.0,2
stations,location_category,object,10,0,0.0,4
strikes,strike_start,object,3,0,0.0,3
strikes,strike_end,object,3,0,0.0,3
trips,trip_id,int64,131771,0,0.0,131771
trips,line_id,object,131771,0,0.0,6
trips,start_station_id,object,131771,0,0.0,10
trips,end_station_id,object,131771,0,0.0,10
trips,scheduled_departure_time,object,131771,0,0.0,116530
trips,is_peak_hour,bool,131771,0,0.0,2
trips,is_delayed,bool,131771,0,0.0,2
trips,delay_minutes,int64,131771,0,0.0,252
trips,is_cancelled,bool,131771,0,0.0,2
weather,timestamp,object,8761,0,0.0,8761
weather,temperature_c,float64,8761,0,0.0,2192
weather,precipitation_mm,float64,8761,0,0.0,823
weather,wind_speed_kmh,float64,8761,0,0.0,3133
weather,weather_condition,object,8761,0,0.0,3
